Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.7374826409168191	0.7411984441490284	0.6516310914216673	0.6488345079105504	0.7324675324675325	0.46116107931316436	0.2992967177661222	0.46116107931316436
1	0.7904586691585873	0.7944872283471203	0.7168747482883608	0.7150890991447001	0.7777777777777778	0.5952575633687653	0.4316655167889205	0.5952575633687653
2	0.8086584511155239	0.80963672446683	0.7257349979863069	0.7239393113473245	0.7901498929336188	0.6034341782502044	0.449437968108927	0.6034341782502044
3	0.8187705226544149	0.8176459653737538	0.725332259363673	0.7233143843528145	0.8015607580824972	0.5878986099754702	0.4483836270781635	0.5878986099754702
4	0.8243118015808122	0.8234854532686713	0.7249295207410391	0.7225814092330854	0.8206650831353919	0.5650040883074408	0.44720836621452786	0.5650040883074408
5	0.8314760736674063	0.8306839870933391	0.7321788159484495	0.7301084374878324	0.8141891891891891	0.5911692559280458	0.46207524518946497	0.5911692559280458
6	0.8330925774507132	0.8302141468382969	0.7313733387031817	0.7292187439162092	0.8180778032036613	0.5846279640228945	0.4603663612841381	0.5846279640228945
7	0.8342188088099781	0.8343292378395527	0.7442609746274668	0.7427335202273877	0.8006134969325154	0.6402289452166803	0.48689916186527693	0.6402289452166803
8	0.8390387934950486	0.8376283684348556	0.7478856222311719	0.7461969006735973	0.8138801261829653	0.6328699918233851	0.49400695856890986	0.6328699918233851
9	0.8467484977092501	0.845099796981964	0.7535239629480467	0.7518605043543719	0.8198952879581152	0.6402289452166803	0.5053469286247203	0.6402289452166803
10	0.8443399654765149	0.8434784992503654	0.7579540877970198	0.7566337655258342	0.8073122529644269	0.6680294358135732	0.5145710054118972	0.6680294358135732
11	0.8527112616646549	0.8514341320099554	0.7643979057591623	0.7630069825695336	0.819	0.669664758789861	0.5274259859993252	0.669664758789861
12	0.8521531752521123	0.8506579503696357	0.7672170761175997	0.7660008565977494	0.8134110787172012	0.6843826655764513	0.5332436575991404	0.6843826655764513
13	0.8576678477332607	0.8532006339932245	0.7724526782118405	0.7712556295344521	0.8187984496124031	0.6909239574816026	0.5437581080057095	0.6909239574816026
14	0.8636562447273811	0.8609335851347242	0.7768828030608136	0.7756807356357642	0.8244422890397672	0.6950122649223222	0.5526353104015278	0.6950122649223222
15	0.8661007930018559	0.8646103246533459	0.7784937575513492	0.7772800425703124	0.827016520894072	0.695829926410466	0.5558546914870712	0.695829926410466
16	0.8694762423912055	0.8667062714711966	0.774869109947644	0.7739367155965684	0.8085501858736059	0.7113654946852003	0.5488420199309545	0.7113654946852003
17	0.8725093771496061	0.8713130944416195	0.7893677003624647	0.788594595646926	0.8176043557168784	0.7367130008176614	0.5780288631976196	0.7367130008176614
18	0.8751281651935782	0.8732603325846277	0.7921868707209021	0.7916244857168815	0.810905892700088	0.7538838920686836	0.5838517749574669	0.7538838920686836
19	0.8811600410128619	0.8785360383371996	0.7933950865888039	0.7925028228789471	0.8280961182994455	0.7326246933769419	0.5859975955092772	0.7326246933769419
20	0.8853641838310686	0.8826838198564781	0.8006443817962142	0.8002099313423925	0.8143350604490501	0.7710547833197057	0.6008887647728325	0.7710547833197057
21	0.8855517268231905	0.8832833692193984	0.7966169955698752	0.7962176666796454	0.8084192439862543	0.7694194603434178	0.5928552619231847	0.7694194603434178
22	0.8893755921556412	0.8868134415379655	0.8054772452678212	0.805115900271256	0.8162393162393162	0.7808667211774325	0.6106203281234832	0.7808667211774325
23	0.893085568923672	0.8908156474096636	0.8050745066451873	0.8044069358460201	0.8302055406613047	0.759607522485691	0.6095749602353651	0.759607522485691
24	0.8944421731625329	0.8935290029908712	0.8066854611357229	0.8062103336837597	0.8227628149435273	0.7743254292722813	0.6129504925801222	0.7743254292722813
25	0.8943458059157159	0.8931864947472338	0.8034635521546516	0.8026995807862529	0.8331822302810517	0.7514309076042518	0.6062725831188749	0.7514309076042518
26	0.8986625394229648	0.8972858526618749	0.8115183246073299	0.8110202598346508	0.8291194420226679	0.777596075224857	0.622608591727322	0.777596075224857
27	0.8998221910732132	0.8992191475720969	0.8123238018525977	0.811741878544822	0.8340688437775816	0.7726901062959934	0.6241581482672487	0.7726901062959934
28	0.9003442614440161	0.8987822171941409	0.8074909383809907	0.8067278614907396	0.8377153218495014	0.7555192150449714	0.6143407678910291	0.7555192150449714
29	0.9010162364209788	0.8992130899041462	0.815142972211035	0.8144956456281067	0.8404634581105169	0.7710547833197057	0.6297548943010302	0.7710547833197057
30	0.9003410167555712	0.8994720071373484	0.8139347563431333	0.8135452763825617	0.8266094420600858	0.7874080130825838	0.6275275065312386	0.7874080130825838
31	0.8994263390829211	0.8998809510428053	0.8163511880789368	0.8156020843878571	0.8470588235294118	0.7653311529026983	0.6320996206777112	0.7653311529026983
32	0.9056713909330426	0.9059334011393	0.8223922674184454	0.8218305883269088	0.8441901408450704	0.7841373671300081	0.6443341612691682	0.7841373671300081
33	0.9103836519617386	0.9102225926825361	0.8231977446637132	0.8227803086347649	0.8379310344827586	0.794766966475879	0.6460492481399545	0.794766966475879
34	0.9104959181819361	0.9112277957842373	0.8264196536447845	0.8259909278511077	0.8419689119170984	0.7972199509403107	0.6524910254890723	0.7972199509403107
35	0.9093031707095486	0.909330441286798	0.8268223922674185	0.8263277265117004	0.8456843940714909	0.7931316434995912	0.6532514838520266	0.7931316434995912
